Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
1591885,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,James Rankin,
1196257,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1154863,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2488509,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2008006,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2118440,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2797452,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
2797453,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3781481,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3869262,Classes,Attended,CrossFit: 6:00 PM,2024-05-03T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4397433,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4439367,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4477798,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4467210,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
3984977,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
3919778,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4019347,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5161846,Classes,Attended,CrossFit: 12:30 PM,2024-05-03T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
5202848,Classes,Attended,CrossFit: 5:30 AM,2024-05-03T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
